Tool1; Workpiece0; Square-1;
Square: 0.000176444627284271;
Object type; node id;
Workpiece0; 7;
Workpiece0; 8;
Workpiece0; 9;
Workpiece0; 10;
Workpiece0; 11;
Workpiece0; 12;
Tool1; 58;
Tool1; 59;
Tool1; 60;
Tool1; 61;
Tool1; 62;
Tool1; 63;
Tool1; 64;
Tool1; 65;
Tool1; 66;
Tool1; Workpiece0; Square-1;
Square: 0.000172119134376432;
Object type; node id;
Workpiece0; 15;
Workpiece0; 16;
Workpiece0; 17;
Workpiece0; 18;
Workpiece0; 19;
Workpiece0; 20;
Workpiece0; 21;
Workpiece0; 22;
Tool1; 48;
Tool1; 49;
Tool1; 50;
Tool1; 51;
Tool1; 52;
Tool1; 53;
Tool1; 54;
Tool1; 55;
Tool1; 56;
Tool1; Workpiece0; Square-1;
Square: 0.000167923610584803;
Object type; node id;
Workpiece0; 25;
Workpiece0; 26;
Workpiece0; 27;
Workpiece0; 28;
Workpiece0; 29;
Workpiece0; 30;
Workpiece0; 31;
Workpiece0; 32;
Tool1; 38;
Tool1; 39;
Tool1; 40;
Tool1; 41;
Tool1; 42;
Tool1; 43;
Tool1; 44;
Tool1; 45;
Tool1; Workpiece0; Square-1;
Square: 0.000171076420015133;
Object type; node id;
Workpiece0; 35;
Workpiece0; 36;
Workpiece0; 37;
Workpiece0; 38;
Workpiece0; 39;
Workpiece0; 40;
Workpiece0; 41;
Tool1; 28;
Tool1; 29;
Tool1; 30;
Tool1; 31;
Tool1; 32;
Tool1; 33;
Tool1; 34;
Tool1; 35;
Tool1; 36;
Tool1; Workpiece0; Square-1;
Square: 0.000176318361088161;
Object type; node id;
Workpiece0; 43;
Workpiece0; 44;
Workpiece0; 45;
Workpiece0; 46;
Workpiece0; 47;
Workpiece0; 48;
Workpiece0; 49;
Workpiece0; 50;
Tool1; 18;
Tool1; 19;
Tool1; 20;
Tool1; 21;
Tool1; 22;
Tool1; 23;
Tool1; 24;
Tool1; 25;
Tool1; 26;
